reason,super_reasons,museum_id,has_collection
loss of premises - legal,lease terminated,mm.wiki.107,True
restructure of host organisation - relocation; collections - collection repurposed,relocation; collection repurposed,mm.wiki.282,True
life events - retirement - retirement of owner,owner(s) retired,mm.New.28,True
other - theft; financial - costs - unsustainable,burglary; financially unviable,mm.wiki.073,True
life events - retirement - retirement of owner,owner(s) retired,mm.wiki.387,True
financial - costs,rent increase,mm.aim.0557,True
unknown,unknown,mm.New.69,True
low visitor numbers,too few visitors,mm.aim82NM.064,True
loss of premises,loss of premises,mm.New.81,True
strategic closure - amalgamation,amalgamation,mm.domus.SE414,True
loss of premises - redevelopment,redevelopment,mm.domus.SW009,True
financial - costs - low revenue,insufficient revenue,mm.domus.NW179,True
financial - costs - low revenue,insufficient revenue,mm.ace.1193,True
building - condition of building - deterioration; staff - area unsafe for staff; financial - costs - unsustainable,deterioration of building; area unsafe for staff; building unsafe; financially unsustainable,mm.Mus70Cal.011,True
loss of premises - legal,lease terminated,mm.aim.1281,True
financial - funding cut - local authority funding cut,local authority budget cuts,mm.domus.YH166,True
restructure of host organisation - regimental reorganisation,regimental reorganisation,mm.domus.SE327,True
loss of premises - legal - lease expired; life events - retirement - retirement of owner,lease expired; retirement of owner,mm.wiki.114,True
loss of premises - redevelopment - redevelopment of site,redevelopment of site,mm.wiki.355,True
strategic closure - amalgamation,amalgamation,mm.domus.WA059,True
loss of premises - change of use,premises repurposed,mm.domus.YH059,True
financial - funding cut - local authority funding cut,local authority budget cuts?,mm.domus.NW091,True
loss of premises,loss of premises?,mm.domus.NW135,True
low visitor numbers; loss of premises - change of use - space repurposed,low visitor numbers; space repurposed,mm.aim82M.004,True
financial - costs - low revenue,insufficient revenue,mm.wiki.454,True
financial - costs,costs,mm.domus.YH051,True
loss of premises - redevelopment,site redeveloped,mm.domus.SC242,True
loss of premises,loss of premises,mm.aim.0658,True
financial - funding cut - charity lost funding,charity lost funding,mm.domus.SW113,True
loss of premises; loss of premises - legal - lease expired,loss of premises; lease expired,mm.aim.0215,True
loss of premises,loss of premises,mm.wiki.082,True
financial - funding cut - local authority funding cut,local authority cuts,mm.domus.SE104,True
financial - funding cut - local authority funding cut,local authority cuts,mm.wiki.117,True
loss of premises,loss of premises?,mm.ace.1240,True
financial - funding cut - local authority funding cut,local authority cuts,mm.ace.1103,True
financial - funding cut - local authority funding cut,local authority cuts?,mm.domus.SC141,True
low visitor numbers; financial - costs,too few visitors; costs?,mm.aim.1031,True
financial - funding cut - local authority funding cut,local authority cuts,mm.domus.SE066,True
unknown,unknown,mm.misc.239,True
financial - costs - low revenue,insufficient revenue,mm.misc.094,True
financial - funding cut - local authority funding cut,local authority cuts,mm.domus.YH012,True
financial - funding cut,funding cut,mm.domus.SC123,True
building - unsuitable - access; other - location no longer suitable,accessibility issues; location no longer suitable,mm.domus.SE324,True
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.aim82NM.061,True
low visitor numbers; financial - costs - unsustainable,too few visitors; financially unsustainable,mm.domus.SE446,True
low visitor numbers,too few visitors?,mm.domus.SC053,True
financial - costs - building costs; building - unsuitable; building - unsuitable - access,costs of building too high; premises unsuitable; accessibility,mm.domus.EM020,True
financial - funding cut - local authority funding cut,local authority cuts,mm.domus.NW035,True
financial - funding cut - local authority funding cut,local authority cuts,mm.domus.SW077,True
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.domus.SW067,True
life events - illness,illness,mm.wiki.447,True
strategic closure - replacement museum,replacement museum,mm.domus.WM021,True
restructure of host organisation - relocation,relocation?,mm.domus.SE103,True
financial - funding cut - museums scotland funding cut,museums scotland funding cut,mm.domus.SC282,True
financial - funding cut - local authority funding cut; low visitor numbers,local authority cuts; too few visitors,mm.domus.EM075,True
low visitor numbers; financial - costs,too few visitors; rising costs,mm.wiki.006,True
loss of premises - redevelopment; strategic closure - amalgamation,redevelopment; amalgamation,mm.domus.SE421,True
loss of premises,loss of premises,mm.aim.1082,True
financial - funding cut - local authority funding cut,local authority funding cut,mm.domus.SE074,True
financial - costs; life events - illness,excessive costs; illness,mm.wiki.096,True
financial - funding cut - dfe funding cut,dfe funding cut,mm.wiki.178,True
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.domus.SW168,True
financial - costs - low revenue,insufficient revenue,mm.aim82M.049,True
financial - funding cut - local authority funding cut,local authority cuts,mm.domus.NW012,True
financial - funding cut - local authority funding cut,local authority cuts,mm.wiki.423,True
unknown,unknown,mm.misc.012,True
low visitor numbers,too few visitors?,mm.misc.163,True
loss of premises - change of use - space repurposed,space repurposed,mm.misc.200,False
dispute - dispute with local authority; financial - costs,dispute with local authority; costs,mm.hha.091,True
other - reverted to private use,reverted to private use,mm.wiki.218,True
financial - costs - low revenue,insufficient revenue?,mm.wiki.148,True
other - reverted to private use,reverted to private use,mm.wiki.466,True
financial; other - reverted to private use,managing trust liquidated; reverted to private use,mm.aim.0407,True
low visitor numbers; financial - costs - low revenue,too few visitors; insufficient revenue,mm.wiki.340,False
loss of premises - change of use,removal of adjoining library,mm.wiki.186,True
financial - funding cut - local authority funding cut,local authority cuts,mm.domus.SE044,False
strategic closure - amalgamation,amalgamation,mm.domus.SE458,True
building - unsuitable - poor environmental conditions,poor environmental conditions,mm.ace.1260,True
other,change of use to family home,mm.hha.107,True
other - loss of perceived value; financial - funding cut - university cost cutting,loss of perceived value; university cost cutting,mm.domus.SE059,True
other,associated business closed,mm.MDN.029,True
dispute - access refused by host organisation,access refused by host organisation,mm.wiki.358,True
other - never fully established as a museum,never fully established as a museum with collections,mm.domus.WA074,True
life events - owner moved house,owner moved house,mm.aim.1121,True
life events - owner moved house,owner moved house,mm.aim82M.002,True
life events - owner moved house,owner moved house,mm.mgs.311,True
life events - owner moved house,owner moved house,mm.mgs.341,True
life events - owner moved house,owner moved house,mm.domus.SE513,True
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.fcm.160,True
financial - costs - unsustainable; financial - funding cut - external funding cut,financially unsustainable; external funding cut,mm.domus.EM047,True
loss of premises - sold,building sold,mm.wiki.173,True
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.aim82NM.005,True
other - associated business sold,associated business sold,mm.aim82NM.029,True
financial - funding cut - local authority funding cut,local authority funding cut,mm.wiki.155,True
other; building - unsuitable,conservation issues; premises unsuitable,mm.domus.NW032,True
low visitor numbers,too few visitors,mm.domus.NE009,True
financial - managing trust disposing of liabilities,managing trust disposing of liabilities?,mm.mgs.413,True
life events - illness,illness,mm.wiki.292,True
life events - owners fell out,owners fell out,mm.mald.148,True
life events - illness,illness,mm.fcm.154,True
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.wiki.071,True
financial - funding cut - local authority funding cut,local authority funding cuts,mm.domus.NE036,True
life events - retirement - retirement of owner; life events - death - death of owner,owner(s) retired from museum work; death of owner,mm.aim82M.033,True
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.wiki.043,True
restructure of host organisation - regimental reorganisation,regimental reorganisation,mm.domus.EM060,True
financial - costs - building costs; building - unsuitable - access; low visitor numbers,building costs; accessibility issues; too few visitors,mm.domus.EM053,True
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.aim.0052,True
life events - death - death of owner,death of owner,mm.aim82NM.091,True
life events - death - death of owner,death of owner,mm.wiki.309,True
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.misc.165,True
financial - costs,rent increase,mm.mald.027,True
restructure of host organisation - change in corporate priorities; loss of premises - legal - lease expired,change in corporate priorities; lease expired,mm.musa.116,True
building - change of use,site repurposed?,mm.wiki.481,True
life events - death - death of owner,death of owner?,mm.aim.1217,True
life events - retirement - retirement of owner; building - change of use,owner(s) retired from museum work; repurposing of site,mm.wiki.315,True
building - building destroyed,building demolished,mm.domus.YH056,True
staff - insufficient staff - no volunteers; building - condition of building,too few volunteers; leaking roof,mm.wiki.464,True
other,changed offer,mm.domus.WA010,True
building - condition of building,condition of building,mm.domus.NI026,True
restructure of host organisation - merger of fire services; loss of premises - sold,merger of fire services; building sold,mm.domus.SW153,True
building - condition of building; low visitor numbers; loss of premises - legal - lease expired,condition of building; too few visitors; lease expired,mm.wiki.354,True
building - condition of building,condition of building?,mm.misc.075,True
loss of premises,loss of premises,mm.domus.WA051,True
building - change of use,site repurposed,mm.New.254,True
financial - costs - low revenue,insufficient revenue,mm.wiki.027,True
building - building ownership changed; loss of premises,building ownership changed; loss of premises,mm.wiki.391,True
life events - death - death of owner,death of owner?,mm.musa.057,True
building - condition of building,condition of building,mm.domus.WA028,True
staff - insufficient staff; building - unsuitable,insufficient staff; premises unsuitable,mm.ace.1167,True
building,building problems,mm.wiki.210,True
loss of premises - change of use - space repurposed,repurposing of space,mm.domus.NW054,True
financial - funding cut - local authority funding cut; low visitor numbers,local authority funding cut; low visitor numbers,mm.domus.WA011,True
strategic closure - amalgamation; loss of premises - change of use,amalgamation; premises repurposed,mm.domus.SC263,True
life events - death - death of owner,death of owner,mm.musa.220,True
financial - funding cut - local authority funding cut,local authority funding cut,mm.domus.SC016,True
financial - costs - unsustainable,financially unviable,mm.aim82NM.038,True
restructure of host organisation - local authority reorganisation,local authority reorganisation,mm.domus.SC161,True
financial - funding cut - local authority funding cut,local authority funding cuts,mm.mald.069,True
loss of premises - legal - lease expired; financial - costs - building costs,lease expired; costs of building too high,mm.domus.SC150,True
life events - death - death of owner,death of owner,mm.musa.214,True
life events - death - death of owner; financial - costs - unsustainable; low visitor numbers,death of owner; financially unviable; too few visitors,mm.wiki.270,True
life events - death - death of owner,death of owner,mm.New.298,True
loss of premises,loss of premises,mm.fcm.013,True
loss of premises - legal - lease expired; loss of premises,lease expired; loss of premises,mm.domus.SW005,True
unknown,unknown,mm.misc.065,True
financial - costs - unsustainable; financial - costs - deficit; financial - funding cut - local authority funding cut,financially unviable; ran a deficit; local authority funding cut,mm.domus.SE404,True
financial - funding cut - local authority funding cut,local authority funding cut,mm.ace.1179,True
financial - costs - unsustainable; low visitor numbers,unsustainable costs; too few visitors,mm.musa.138,True
loss of premises - change of use,premises repurposed,mm.domus.SE429,True
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.New.302,True
loss of premises - change of use,premises repurposed,mm.domus.SE062,True
financial - costs - unsustainable,unsustainable costs,mm.aim.1047,True
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.misc.020,True
building - condition of building - deterioration,deterioration of building,mm.wiki.286,True
financial - funding cut - local authority funding cut,local authority funding cut,mm.mald.160,True
financial - funding cut - local authority funding cut,local authority funding cut,mm.domus.SE296,True
loss of premises - redevelopment - redevelopment of site,redevelopment of site,mm.aim.0559,True
loss of premises - sold,site sold,mm.ace.1292,True
financial - funding cut - local authority funding cut,local authority funding cut,mm.domus.WM100,True
financial - funding cut - local authority funding cut,local authority funding cut,mm.wiki.276,True
unknown,unknown,mm.wiki.011,True
loss of premises,loss of premises,mm.domus.NW038,True
strategic closure - replacement museum,replacement museum,mm.New.272,True
unknown,unknown,mm.domus.NW087,True
financial - costs,rent increase,mm.New.287,True
financial - costs,rent increase,mm.New.297,True
life events - retirement - retirement of owner,retirement of owner,mm.wiki.203,True
unknown,unknown,mm.musa.363,True
