reason,super_reasons,museum_id,has_collection
staff - insufficient staff - museum service stretched,museum services stretched,mm.domus.SC026,True
low visitor numbers; loss of premises - change of use,too few visitors; premises repurposed,mm.wiki.499,True
financial - funding cut - local authority funding cut,local authority funding cut,mm.domus.WA013,True
financial - funding cut - local authority funding cut,local authority funding cut,mm.domus.WM044,True
financial - funding cut - local authority funding cut,local authority funding cut,mm.domus.WM109,True
building - unsuitable - access; other - location no longer suitable; financial - funding cut - local authority funding cut,accessibility issues; location no longer suitable; local authority funding cut,mm.domus.SE311,True
strategic closure - replacement museum,replacement museum,mm.domus.YH117,True
financial - funding cut - local authority funding cut,local authority funding cut,mm.domus.WM018,True
building - unsuitable - facilities,inadequate facilities,mm.domus.SC110,True
financial - costs - lease cost,increased cost of lease,mm.domus.SC319,True
building; building - condition of building - asbestos,building problems; asbestos concerns,mm.mgs.293,True
financial - funding cut - local authority funding cut,local authority funding cut,mm.aim.1169,True
low visitor numbers,reduced visitors,mm.mgs.380,True
strategic closure - amalgamation,amalgamation,mm.domus.NW015,True
low visitor numbers; financial - costs,falling visitor numbers; rising costs,mm.domus.SE190,True
financial - funding cut - local authority funding cut,local authority funding cut,mm.domus.SE299,True
low visitor numbers,too few visitors,mm.wiki.139,True
loss of premises - change of use,premises repurposed,mm.domus.SW092,True
building - building destroyed - fire,fire destroyed building,mm.domus.SE078,True
financial - funding cut - local authority funding cut,local authority funding cut,mm.domus.WM012,True
financial - funding cut - local authority funding cut,local authority funding cut,mm.domus.SE014,True
loss of premises - sold,building sold,mm.aim82NM.051,True
restructure of host organisation - relocation; financial - funding cut - local authority funding cut,relocation; local authority funding cut,mm.domus.SE112,True
loss of premises - redevelopment - redevelopment of building,redevelopment of building,mm.domus.YH086,True
loss of premises - change of use,premises repurposed,mm.Mus70Cal.005,True
financial - funding cut - local authority funding cut,local authority funding cuts,mm.domus.WM048,True
strategic closure - replacement museum,replacement museum,mm.domus.SE107,True
strategic closure - replacement museum,replacement museum,mm.misc.086,True
strategic closure - replacement museum; strategic closure - amalgamation,replacement museum; amalgamation,mm.domus.NE015,True
strategic closure - replacement museum; strategic closure - amalgamation,replacement museum; amalgamation,mm.domus.NE018,True
financial - funding cut - local authority funding cut,local authority funding cuts,mm.domus.NW137,True
financial - funding cut - local authority funding cut,local authority funding cuts?,mm.domus.NE063,True
loss of premises - redevelopment,site redevelopment,mm.musa.224,True
financial - insolvency,insolvency,mm.fcm.172,True
restructure of host organisation - change in corporate priorities,change in corporate priorities,mm.fcm.114,True
loss of premises - redevelopment - redevelopment of building,redevelopment of building,mm.aim.0158,True
building - building maintenance issues,building maintenance issues,mm.wiki.273,True
financial - funding cut - local authority funding cut,local authority funding cut,mm.wiki.420,True
life events - death - death of owner,death of owner?,mm.aim.1166,True
restructure of host organisation - local authority reorganisation,local authority reorganisation,mm.domus.EM065,True
building - unsuitable - too small,seeking larger premises,mm.wiki.400,True
building - condition of building - deterioration; financial - costs - building costs,roof collapsed; museum went into administration due to repair costs,mm.domus.YH163,True
building - change of use,site repurposed,mm.New.202,True
loss of premises - sold,site sold,mm.aim82NM.122,True
strategic closure - amalgamation,amalgamation,mm.domus.WA067,True
life events - illness; low visitor numbers,illness; falling visitor numbers,mm.wiki.092,True
other - reverted to private use,reverted to private use,mm.aim82M.051,True
strategic closure - replacement museum,replacement museum,mm.domus.NI004,True
life events - too much work; life events - death - death of owner,too much work for owners; unwanted by owner's descendants,mm.aim82NM.066,True
unknown,unknown,mm.domus.SC202,True
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.wiki.021,True
financial - costs - deficit; financial - funding cut - local authority funding cut,running a deficit; local authority council funding cut,mm.domus.SC299,True
financial - costs - unsustainable,unsustainable,mm.domus.WA088,True
restructure of host organisation - change in corporate priorities,change in corporate priorities,mm.aim82NM.104,True
restructure of host organisation - co-occupant leaves; financial - costs - low revenue,co-occupant leaves; low revenue,mm.domus.SE264,True
building - unsuitable; strategic closure,building unsuitable; closed pending relocation,mm.domus.SC007,True
financial - funding cut - host organisation funding cut,host organisation funding cut,mm.musa.021,True
life events - too much work,too much work for owners,mm.wiki.480,True
other,change of offer,mm.domus.WM131,True
financial - costs - insurance,rising insurance costs,mm.misc.051,True
low visitor numbers,falling visitor numbers,mm.aim.0484,True
low visitor numbers; financial - costs,falling visitor numbers; rising costs,mm.misc.213,True
collections - theft; life events - retirement - retirement of owner,thefts prompted closure; return of use as solely private home,mm.wiki.198,True
loss of premises - redevelopment - redevelopment of site,redevelopment of site,mm.MDN.034,True
building - unsuitable; financial - costs - building costs; strategic closure - amalgamation,unsuitable building; costly building;  amalgamation,mm.domus.SE193,True
life events - death - death of staff; financial - costs - unsustainable,death of taxidermist; reduced financial viability,mm.wiki.035,True
strategic closure - amalgamation,amalgamation,mm.domus.SE100,True
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.wiki.017,True
strategic closure - amalgamation,amalgamation,mm.domus.SW028,True
building - condition of building - deterioration,deterioration,mm.domus.NE044,True
life events - death - death of owner,death of owner?,mm.wiki.303,True
life events - retirement - retirement of owner; loss of premises - sold,owner(s) retiring from museum work; sale of premises,mm.aim.0936,True
life events - imprisonment of owner,owner jailed?,mm.New.172,True
financial - funding cut - ace funding cut,withdrawal of arts council funding,mm.wiki.167,True
financial - costs - low revenue,insufficient revenue,mm.wiki.102,True
life events - death - death of owner; life events - retirement - retirement of owner,death of owner; owner(s) retired from museum work,mm.aim82NM.027,True
financial - funding cut - local authority funding cut,local authority funding cuts,mm.misc.155,True
financial - costs - low revenue; loss of premises - change of use - space repurposed; low visitor numbers,low revenue; space repurposed; low visitors,mm.wiki.185,True
strategic closure - seeking new premises,seeking new premises,mm.domus.SW142,True
low visitor numbers; financial - costs,too few visitors; increasing costs,mm.aim82NM.079,True
life events - death - death of owner,death of owner,mm.aim82NM.077,True
loss of premises - change of use - space repurposed,repurposing of space,mm.domus.NW149,True
loss of premises - change of use,premises repurposed,mm.wiki.222,True
life events - too much work,too much work for owners,mm.aim82NM.045,True
loss of premises,loss of premises,mm.aim82NM.119,True
loss of premises,loss of premises?,mm.domus.SW192,True
strategic closure - replacement museum,replacement,mm.domus.SE185,True
financial - funding cut - local authority funding cut,local authority funding cut,mm.wiki.337,True
loss of premises - change of use - space repurposed; financial - funding cut,repurposed space; reallocation of financial resources,mm.Mus70Cal.010,True
life events - too much work,too much work for owners,mm.misc.030,True
loss of premises - sold,sale of premises,mm.aim.0129,True
building - unsuitable; staff - insufficient staff,unsuitable building; lack of staff,mm.aim82NM.028,True
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.misc.211,True
loss of premises,loss of premises,mm.aim.0127,True
loss of premises - change of use,refurbishment of museum,mm.domus.SE216,True
building - building destroyed - fire; destruction - building destroyed - arson,fire destroyed building; arson,mm.domus.SE467,True
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.aim.1194,True
life events - retirement - retirement of owner,owner(s) retired from museum work?,mm.wiki.049,True
financial - costs - low revenue; loss of premises - change of use,insufficient revenue; premises repurposed,mm.New.203,True
low visitor numbers,falling visitor numbers;,mm.domus.SW147,True
financial - recession,recession?,mm.aim82M.066,True
life events - illness; loss of premises - sold,illness; sale of premises,mm.wiki.090,True
life events - illness; life events - owner moved house,illness; owners moved,mm.wiki.149,True
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.wiki.091,True
financial - funding cut - local authority funding cut,local authority funding cut,mm.domus.SE268,True
restructure of host organisation - relocation; strategic closure - replacement museum,relocation; replacement museum,mm.aim.0126,True
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.wiki.336,True
restructure of host organisation - relocation; strategic closure - replacement museum,relocation; replacement museum,mm.domus.SE279,True
restructure of host organisation - change in corporate priorities,corporate priorities changed,mm.misc.072,True
