initial_museum_id,initial_museum_name,initial_museum_size,initial_museum_governance,initial_museum_accreditation,initial_museum_subject,initial_museum_town,initial_museum_region,initial_museum_postcode,super_event_id,super_event_date,super_event_reasons,event_id,event_stage_in_path,event_type,event_core_type,event_type_uncertainty,event_is_end_of_existence,event_is_change_of_ownership,event_is_change_of_custody,event_date,event_date_from,event_date_to,previous_event_id,sender_id,sender_name,sender_mm_id,sender_type,sender_core_type,sender_sector,recipient_id,recipient_name,recipient_mm_id,recipient_quantity,recipient_type,recipient_core_type,recipient_sector,recipient_size,recipient_governance,recipient_accreditation,recipient_subject,recipient_town,recipient_region,recipient_postcode,object_id,parent_object_id,object_size,object_quantity,object_status,object_types,object_description
mm.aim82NM.079,Medway Heritage Centre,small,unknown governance,unaccredited,local histories,Chatham,South East,ME4 4TX,cm199,2001/2002,low visitor numbers; financial - costs,event994,0,transferred,transferred,certain,False,True,True,2002,,,,museummm.aim82NM.079,Medway Heritage Centre,mm.aim82NM.079,museum,museum,unknown,fort-amherst,Fort Amherst,mm.aim.0351,1,museum,museum,third,small,not-for-profit,unaccredited,war & conflict: castles & forts,Chatham,South East,ME4 4UB,cm199medway-hoo-model,,few,1,collection,['physical model'],model of Hoo Fort
mm.aim82NM.079,Medway Heritage Centre,small,unknown governance,unaccredited,local histories,Chatham,South East,ME4 4TX,cm199,2001/2002,low visitor numbers; financial - costs,event995,1,stored,stored,certain,False,False,False,2002,,,event994,fort-amherst,Fort Amherst,mm.aim.0351,museum,museum,third,,,,,,,,,,,,,,,cm199medway-hoo-model,,few,1,collection,['physical model'],model of Hoo Fort
mm.aim82NM.079,Medway Heritage Centre,small,unknown governance,unaccredited,local histories,Chatham,South East,ME4 4TX,cm199,2001/2002,low visitor numbers; financial - costs,event996,0,transferred,transferred,certain,False,True,True,2002,,,,museummm.aim82NM.079,Medway Heritage Centre,mm.aim82NM.079,museum,museum,unknown,fort-amherst,Fort Amherst,mm.aim.0351,1,museum,museum,third,small,not-for-profit,unaccredited,war & conflict: castles & forts,Chatham,South East,ME4 4UB,cm199medway-amherst-print,,few,1,collection,['print'],reproduction of view from Fort Amherst
mm.aim82NM.079,Medway Heritage Centre,small,unknown governance,unaccredited,local histories,Chatham,South East,ME4 4TX,cm199,2001/2002,low visitor numbers; financial - costs,event997,1,displayed,displayed,certain,False,False,False,2002,,,event996,fort-amherst,Fort Amherst,mm.aim.0351,museum,museum,third,,,,,,,,,,,,,,,cm199medway-amherst-print,,few,1,collection,['print'],reproduction of view from Fort Amherst
mm.aim82NM.079,Medway Heritage Centre,small,unknown governance,unaccredited,local histories,Chatham,South East,ME4 4TX,cm199,2001/2002,low visitor numbers; financial - costs,event998,0,transferred,transferred,certain,False,True,True,2002,,,,museummm.aim82NM.079,Medway Heritage Centre,mm.aim82NM.079,museum,museum,unknown,fort-amherst,Fort Amherst,mm.aim.0351,1,museum,museum,third,small,not-for-profit,unaccredited,war & conflict: castles & forts,Chatham,South East,ME4 4UB,cm199medway-fountain-bar1,,few,1,collection,['furniture'],"bar furniture from Fountain Inn, Chatham"
mm.aim82NM.079,Medway Heritage Centre,small,unknown governance,unaccredited,local histories,Chatham,South East,ME4 4TX,cm199,2001/2002,low visitor numbers; financial - costs,event999,1,stored,stored,certain,False,False,False,2002,,,event998,fort-amherst,Fort Amherst,mm.aim.0351,museum,museum,third,,,,,,,,,,,,,,,cm199medway-fountain-bar1,,few,1,collection,['furniture'],"bar furniture from Fountain Inn, Chatham"
mm.aim82NM.079,Medway Heritage Centre,small,unknown governance,unaccredited,local histories,Chatham,South East,ME4 4TX,cm199,2001/2002,low visitor numbers; financial - costs,event1000,0,used-as-facility,used,certain,False,False,False,2002,,,,museummm.aim82NM.079,Medway Heritage Centre,mm.aim82NM.079,museum,museum,unknown,,,,,,,,,,,,,,,cm199medway-fountain-bar2,,few,1,collection,['furniture'],"bar furniture from Fountain Inn, Chatham"
mm.aim82NM.079,Medway Heritage Centre,small,unknown governance,unaccredited,local histories,Chatham,South East,ME4 4TX,cm199,2001/2002,low visitor numbers; financial - costs,event1001,0,loans-returned,returned,?,False,False,True,2002,,,,museummm.aim82NM.079,Medway Heritage Centre,mm.aim82NM.079,museum,museum,unknown,unknown_actor_1001,unknown actor 1001,,1,actor,,unknown,,,,,,,,cm199medway-loans,,some,,loan,['miscellaneous'],
mm.aim82NM.079,Medway Heritage Centre,small,unknown governance,unaccredited,local histories,Chatham,South East,ME4 4TX,cm199,2001/2002,low visitor numbers; financial - costs,event1002,0,donation-returned,returned,?,False,True,True,2002,,,,museummm.aim82NM.079,Medway Heritage Centre,mm.aim82NM.079,museum,museum,unknown,unknown_actor_1002,unknown actor 1002,,1,actor,,unknown,,,,,,,,cm199medway-donations,,some,,collection,['miscellaneous'],
mm.aim82NM.077,Museum Of Bookbinding,small,private,unaccredited,other,Bath,South West,BA1 1JW,cm200,2000,life events - death - death of owner,event1004,0,loans-returned,returned,certain,False,False,True,2000,,,,museummm.aim82NM.077,Museum Of Bookbinding,mm.aim82NM.077,museum,museum,private,unknown_actor_1004,unknown actor 1004,,1,actor,,unknown,,,,,,,,cm200bookbinding-loans,,some,,loan,['miscellaneous'],
